epoch,train_loss,val_loss,val_vector_ready_score,val_mIoU,foreground_mIoU,pixel_accuracy,foreground_pixel_accuracy,wall_boundary_F1,background_IoU,floor_IoU,wall_IoU,window_IoU,door_arc_IoU,door_leaf_IoU,door_origin_IoU,clean_pixel_accuracy,clean_foreground_mIoU,clean_wall_boundary_F1,clean_background_IoU,clean_floor_IoU,clean_wall_IoU,clean_window_IoU,clean_door_arc_IoU,clean_door_leaf_IoU,clean_door_origin_IoU,original_pixel_accuracy,original_foreground_mIoU,original_wall_boundary_F1,original_background_IoU,original_floor_IoU,original_wall_IoU,original_window_IoU,original_door_arc_IoU,original_door_leaf_IoU,original_door_origin_IoU,learning_rate,checkpoint_saved,best_updated
37,0.88524,0.908454,0.484934,0.476932,0.427205,0.836767,0.835688,0.621785,0.775296,0.782628,0.512001,0.427161,0.353155,0.267542,0.220742,0.952854,0.747648,0.955989,0.908817,0.926368,0.892185,0.891885,0.876402,0.494128,0.40492,0.72284,0.223428,0.248956,0.657,0.659534,0.239218,0.202021,0.18577,0.020747,0.033276,8.13e-06,True,False
38,0.883662,0.909006,0.479028,0.470789,0.420327,0.834607,0.835201,0.617988,0.773561,0.781417,0.505426,0.419456,0.352375,0.253497,0.209794,0.952257,0.739714,0.9559,0.908201,0.926333,0.88991,0.889732,0.86989,0.471637,0.390783,0.719148,0.22259,0.248908,0.654495,0.656562,0.239525,0.198864,0.185706,0.022382,0.032499,6.88e-06,True,False
39,0.883372,0.909585,0.481913,0.47349,0.423594,0.835815,0.84011,0.620528,0.772867,0.782739,0.509399,0.422309,0.354603,0.25708,0.215432,0.952606,0.744514,0.956243,0.907905,0.926549,0.891369,0.894112,0.873899,0.4775,0.403654,0.721197,0.223024,0.246894,0.652969,0.659651,0.237967,0.200966,0.186372,0.021635,0.03155,5.73e-06,True,False
40,0.880746,0.909175,0.479726,0.471713,0.421387,0.83483,0.83554,0.616738,0.773668,0.781659,0.503324,0.410516,0.358712,0.259678,0.214432,0.952537,0.743231,0.956182,0.908136,0.926736,0.888876,0.886045,0.878501,0.479655,0.399569,0.719314,0.22226,0.247311,0.655183,0.656333,0.238367,0.195855,0.18843,0.022258,0.032315,4.67e-06,True,False
41,0.881513,0.907679,0.481663,0.473844,0.423523,0.835663,0.834256,0.619898,0.775768,0.781497,0.508557,0.421336,0.352089,0.261386,0.216276,0.952738,0.74386,0.956153,0.909186,0.926644,0.890674,0.889655,0.871176,0.485812,0.399197,0.720767,0.222562,0.248439,0.658237,0.656413,0.238725,0.200541,0.185572,0.02142,0.032702,3.71e-06,True,False
42,0.879855,0.908874,0.481822,0.473572,0.423674,0.835776,0.838991,0.617812,0.77296,0.783268,0.505565,0.41354,0.36046,0.26166,0.217552,0.952937,0.747365,0.956422,0.908285,0.927152,0.890521,0.891177,0.880809,0.492855,0.401678,0.720797,0.223248,0.247741,0.652879,0.659763,0.238319,0.196934,0.189099,0.022374,0.032996,2.86e-06,True,False
43,0.879122,0.90815,0.480314,0.472258,0.422016,0.834721,0.836989,0.619091,0.773707,0.781324,0.5072,0.42358,0.348285,0.255129,0.21658,0.953174,0.744004,0.956347,0.909788,0.927458,0.890991,0.891405,0.877479,0.473778,0.402913,0.718473,0.222291,0.249726,0.652363,0.656345,0.239181,0.200865,0.183482,0.022004,0.03187,2.11e-06,True,False
44,0.879701,0.909155,0.483859,0.475389,0.426044,0.836495,0.843447,0.619512,0.771457,0.784387,0.507764,0.412364,0.364665,0.267685,0.219401,0.952665,0.748934,0.956383,0.906913,0.926818,0.890104,0.889805,0.883254,0.498118,0.405505,0.722487,0.223836,0.246914,0.650894,0.662658,0.237936,0.197251,0.190907,0.021374,0.03289,1.47e-06,True,False
45,0.877916,0.908769,0.482539,0.474149,0.42403,0.836434,0.83767,0.618649,0.774865,0.783425,0.506225,0.422077,0.358957,0.258931,0.214567,0.952932,0.743713,0.956357,0.909766,0.927158,0.888435,0.890308,0.875331,0.481849,0.399198,0.722104,0.223769,0.247848,0.655248,0.660258,0.23872,0.200452,0.188319,0.022193,0.032672,9.4e-07,True,False
46,0.877255,0.908228,0.487089,0.478707,0.429446,0.837679,0.84138,0.621043,0.774277,0.784744,0.510772,0.428142,0.358924,0.26884,0.225253,0.952874,0.746805,0.955994,0.908449,0.927125,0.889968,0.888752,0.876656,0.492337,0.405992,0.724628,0.224713,0.248249,0.65504,0.663215,0.239474,0.203601,0.188739,0.020633,0.032616,5.3e-07,True,True
47,0.877544,0.907825,0.481164,0.473208,0.423044,0.835536,0.837889,0.618717,0.774197,0.782684,0.506458,0.41646,0.354548,0.261493,0.216619,0.953026,0.74587,0.956319,0.908864,0.927494,0.889544,0.890512,0.878894,0.487492,0.401282,0.720234,0.222651,0.247667,0.655034,0.658094,0.23848,0.198505,0.186477,0.021824,0.032528,2.4e-07,True,False
48,0.876478,0.908338,0.484946,0.476759,0.426914,0.83705,0.836978,0.618724,0.775832,0.783653,0.507018,0.424518,0.359551,0.267399,0.219343,0.953602,0.748211,0.956299,0.91055,0.927954,0.890458,0.89149,0.880894,0.494845,0.403629,0.722668,0.223871,0.248666,0.656568,0.659928,0.239129,0.201392,0.188797,0.021218,0.032764,6e-08,True,False
49,0.877655,0.908089,0.480719,0.472609,0.422498,0.835168,0.83815,0.619041,0.773273,0.782326,0.506909,0.418813,0.352584,0.260405,0.213954,0.953124,0.747888,0.956493,0.908393,0.927505,0.89071,0.894581,0.883246,0.490384,0.400903,0.719408,0.222376,0.248435,0.653526,0.657536,0.238107,0.199048,0.185287,0.02212,0.03216,0.0,True,False
